Key	Name	Status	Precondition	Objective	Folder	Priority	Component	Labels	Owner	Estimated Time	Coverage (Issues)	Coverage (Pages)	Test Script (Step-by-Step) - Step	Test Script (Step-by-Step) - Test Data	Test Script (Step-by-Step) - Expected Result	Test Script (Plain Text)	Test Script (BDD)
SWAG-T4	Usuário quer compartilhar um produto para um contato do whatsapp	Draft	Já ter conta cadastrada	Validar funcionalidade de compartilhar anúncio de produto por whatsapp	/sprint 2	Normal			6389599777acd224b341bd77				Logar na conta de usuário		Visualizar produtos através de sua conta		
													Selecionar um produto		Visualizar dados do produto		
													Clicar icone para compartilhar		Abrir aba com opções de redes sociais		
													Clicar na rede social Whatsapp		Abrir o Whatsapp do usuário com o link do anúncio		
SWAG-T5	Usuário quer compartilhar um produto para um contato do Instagram	Draft	Já ter conta cadastrada	Validar funcionalidade de compartilhar anúncio de produto por Instagram	/sprint 2	Normal			6389599777acd224b341bd77				Logar na conta de usuário		Visualizar produtos através de sua conta		
													Selecionar um produto		Visualizar dados do produto		
													Clicar icone para compartilhar		Abrir aba com opções de redes sociais		
													Clicar na rede social Instagram		Abrir o Instagram do usuário com o link do anúncio		
SWAG-T6	Usuário quer compartilhar um produto para um contato do Facebook	Draft	Já ter conta cadastrada	Validar funcionalidade de compartilhar anúncio de produto porFacebook	/sprint 2	Normal			6389599777acd224b341bd77				Logar na conta de usuário		Visualizar produtos através de sua conta		
													Selecionar um produto		Visualizar dados do produto		
													Clicar icone para compartilhar		Abrir aba com opções de redes sociais		
													Clicar na rede social Facebook		Abrir o Facebook do usuário com o link do anúncio		
